EventBaseCode,EventRootCode,mapping_level,is_direct_trade,domain,weight
084,8,root_fallback,False,security,0.2
084,8,root_fallback,False,society_humanitarian,0.0
085,8,base_override,True,diplomacy,0.2
085,8,base_override,True,economy,0.7
085,8,base_override,True,law,0.0
085,8,base_override,True,politics,0.1
085,8,base_override,True,security,0.0
085,8,base_override,True,society_humanitarian,0.0
086,8,base_override,False,diplomacy,0.55
086,8,base_override,False,economy,0.0
086,8,base_override,False,law,0.15
086,8,base_override,False,politics,0.2
086,8,base_override,False,security,0.1
086,8,base_override,False,society_humanitarian,0.0
087,8,base_override,False,diplomacy,0.2
087,8,base_override,False,economy,0.0
087,8,base_override,False,law,0.0
087,8,base_override,False,politics,0.05
087,8,base_override,False,security,0.75
087,8,base_override,False,society_humanitarian,0.0
090,9,base_override,False,diplomacy,0.0
090,9,base_override,False,economy,0.0
090,9,base_override,False,law,0.7
090,9,base_override,False,politics,0.2
090,9,base_override,False,security,0.1
090,9,base_override,False,society_humanitarian,0.0
091,9,base_override,False,diplomacy,0.0
091,9,base_override,False,economy,0.0
091,9,base_override,False,law,0.75
091,9,base_override,False,politics,0.15
091,9,base_override,False,security,0.1
091,9,base_override,False,society_humanitarian,0.0
092,9,base_override,False,diplomacy,0.0
092,9,base_override,False,economy,0.0
092,9,base_override,False,law,0.55
092,9,base_override,False,politics,0.15
092,9,base_override,False,security,0.0
092,9,base_override,False,society_humanitarian,0.3
100,10,root_fallback,False,diplomacy,0.4
100,10,root_fallback,False,economy,0.2
100,10,root_fallback,False,law,0.0
100,10,root_fallback,False,politics,0.4
100,10,root_fallback,False,security,0.0
100,10,root_fallback,False,society_humanitarian,0.0
101,10,base_override,True,diplomacy,0.25
101,10,base_override,True,economy,0.6
101,10,base_override,True,law,0.0
101,10,base_override,True,politics,0.15
101,10,base_override,True,security,0.0
101,10,base_override,True,society_humanitarian,0.0
104,10,base_override,False,diplomacy,0.15
104,10,base_override,False,economy,0.0
104,10,base_override,False,law,0.2
104,10,base_override,False,politics,0.65
104,10,base_override,False,security,0.0
104,10,base_override,False,society_humanitarian,0.0
105,10,base_override,False,diplomacy,0.2
105,10,base_override,False,economy,0.0
105,10,base_override,False,law,0.15
105,10,base_override,False,politics,0.65
105,10,base_override,False,security,0.0
105,10,base_override,False,society_humanitarian,0.0
106,10,base_override,False,diplomacy,0.1
106,10,base_override,False,economy,0.0
106,10,base_override,False,law,0.45
106,10,base_override,False,politics,0.15
106,10,base_override,False,security,0.0
106,10,base_override,False,society_humanitarian,0.3
110,11,root_fallback,False,diplomacy,0.6
110,11,root_fallback,False,economy,0.0
110,11,root_fallback,False,law,0.0
110,11,root_fallback,False,politics,0.4
110,11,root_fallback,False,security,0.0
110,11,root_fallback,False,society_humanitarian,0.0
111,11,root_fallback,False,diplomacy,0.6
111,11,root_fallback,False,economy,0.0
111,11,root_fallback,False,law,0.0
111,11,root_fallback,False,politics,0.4
111,11,root_fallback,False,security,0.0
111,11,root_fallback,False,society_humanitarian,0.0
112,11,root_fallback,False,diplomacy,0.6
112,11,root_fallback,False,economy,0.0
112,11,root_fallback,False,law,0.0
112,11,root_fallback,False,politics,0.4
112,11,root_fallback,False,security,0.0
112,11,root_fallback,False,society_humanitarian,0.0
113,11,root_fallback,False,diplomacy,0.6
113,11,root_fallback,False,economy,0.0
113,11,root_fallback,False,law,0.0
113,11,root_fallback,False,politics,0.4
113,11,root_fallback,False,security,0.0
113,11,root_fallback,False,society_humanitarian,0.0
114,11,root_fallback,False,diplomacy,0.6
114,11,root_fallback,False,economy,0.0
114,11,root_fallback,False,law,0.0
114,11,root_fallback,False,politics,0.4
114,11,root_fallback,False,security,0.0
114,11,root_fallback,False,society_humanitarian,0.0
115,11,base_override,False,diplomacy,0.1
115,11,base_override,False,economy,0.0
115,11,base_override,False,law,0.7
115,11,base_override,False,politics,0.2
115,11,base_override,False,security,0.0
115,11,base_override,False,society_humanitarian,0.0
120,12,root_fallback,False,diplomacy,0.6
120,12,root_fallback,False,economy,0.0
120,12,root_fallback,False,law,0.0
120,12,root_fallback,False,politics,0.4
120,12,root_fallback,False,security,0.0
120,12,root_fallback,False,society_humanitarian,0.0
121,12,base_override,True,diplomacy,0.25
121,12,base_override,True,economy,0.6
121,12,base_override,True,law,0.0
121,12,base_override,True,politics,0.15
121,12,base_override,True,security,0.0
121,12,base_override,True,society_humanitarian,0.0
122,12,root_fallback,False,diplomacy,0.6
122,12,root_fallback,False,economy,0.0
122,12,root_fallback,False,law,0.0
122,12,root_fallback,False,politics,0.4
122,12,root_fallback,False,security,0.0
122,12,root_fallback,False,society_humanitarian,0.0
123,12,base_override,False,diplomacy,0.15
123,12,base_override,False,economy,0.15
123,12,base_override,False,law,0.0
123,12,base_override,False,politics,0.1
123,12,base_override,False,security,0.0
123,12,base_override,False,society_humanitarian,0.6
124,12,base_override,False,diplomacy,0.15
124,12,base_override,False,economy,0.0
124,12,base_override,False,law,0.2
124,12,base_override,False,politics,0.65
124,12,base_override,False,security,0.0
124,12,base_override,False,society_humanitarian,0.0
125,12,base_override,False,diplomacy,0.2
125,12,base_override,False,economy,0.0
125,12,base_override,False,law,0.15
125,12,base_override,False,politics,0.65
125,12,base_override,False,security,0.0
125,12,base_override,False,society_humanitarian,0.0
127,12,base_override,False,diplomacy,0.25
127,12,base_override,False,economy,0.0
127,12,base_override,False,law,0.0
127,12,base_override,False,politics,0.1
127,12,base_override,False,security,0.65
127,12,base_override,False,society_humanitarian,0.0
128,12,base_override,False,diplomacy,0.7
128,12,base_override,False,economy,0.0
128,12,base_override,False,law,0.0
128,12,base_override,False,politics,0.1
128,12,base_override,False,security,0.2
128,12,base_override,False,society_humanitarian,0.0
129,12,root_fallback,False,diplomacy,0.6
129,12,root_fallback,False,economy,0.0
129,12,root_fallback,False,law,0.0
129,12,root_fallback,False,politics,0.4
129,12,root_fallback,False,security,0.0
129,12,root_fallback,False,society_humanitarian,0.0
130,13,root_fallback,False,diplomacy,0.3
130,13,root_fallback,False,economy,0.0
130,13,root_fallback,False,law,0.0
130,13,root_fallback,False,politics,0.0
130,13,root_fallback,False,security,0.7
130,13,root_fallback,False,society_humanitarian,0.0
131,13,root_fallback,False,diplomacy,0.3
131,13,root_fallback,False,economy,0.0
131,13,root_fallback,False,law,0.0
131,13,root_fallback,False,politics,0.0
131,13,root_fallback,False,security,0.7
131,13,root_fallback,False,society_humanitarian,0.0
133,13,root_fallback,False,diplomacy,0.3
133,13,root_fallback,False,economy,0.0
133,13,root_fallback,False,law,0.0
133,13,root_fallback,False,politics,0.0
133,13,root_fallback,False,security,0.7
133,13,root_fallback,False,society_humanitarian,0.0
134,13,root_fallback,False,diplomacy,0.3
134,13,root_fallback,False,economy,0.0
134,13,root_fallback,False,law,0.0
134,13,root_fallback,False,politics,0.0
134,13,root_fallback,False,security,0.7
134,13,root_fallback,False,society_humanitarian,0.0
136,13,base_override,False,diplomacy,0.1
136,13,base_override,False,economy,0.0
136,13,base_override,False,law,0.0
136,13,base_override,False,politics,0.1
136,13,base_override,False,security,0.8
136,13,base_override,False,society_humanitarian,0.0
138,13,root_fallback,False,diplomacy,0.3
138,13,root_fallback,False,economy,0.0
138,13,root_fallback,False,law,0.0
138,13,root_fallback,False,politics,0.0
138,13,root_fallback,False,security,0.7
138,13,root_fallback,False,society_humanitarian,0.0
139,13,root_fallback,False,diplomacy,0.3
139,13,root_fallback,False,economy,0.0
139,13,root_fallback,False,law,0.0
139,13,root_fallback,False,politics,0.0
139,13,root_fallback,False,security,0.7
139,13,root_fallback,False,society_humanitarian,0.0
140,14,root_fallback,False,diplomacy,0.0
140,14,root_fallback,False,economy,0.0
140,14,root_fallback,False,law,0.0
140,14,root_fallback,False,politics,0.6
140,14,root_fallback,False,security,0.1
140,14,root_fallback,False,society_humanitarian,0.3
141,14,root_fallback,False,diplomacy,0.0
141,14,root_fallback,False,economy,0.0
141,14,root_fallback,False,law,0.0
141,14,root_fallback,False,politics,0.6
141,14,root_fallback,False,security,0.1
141,14,root_fallback,False,society_humanitarian,0.3
143,14,root_fallback,False,diplomacy,0.0
143,14,root_fallback,False,economy,0.0
143,14,root_fallback,False,law,0.0
143,14,root_fallback,False,politics,0.6
143,14,root_fallback,False,security,0.1
143,14,root_fallback,False,society_humanitarian,0.3
144,14,root_fallback,False,diplomacy,0.0
144,14,root_fallback,False,economy,0.0
144,14,root_fallback,False,law,0.0
144,14,root_fallback,False,politics,0.6
144,14,root_fallback,False,security,0.1
144,14,root_fallback,False,society_humanitarian,0.3
145,14,root_fallback,False,diplomacy,0.0
145,14,root_fallback,False,economy,0.0
145,14,root_fallback,False,law,0.0
145,14,root_fallback,False,politics,0.6
145,14,root_fallback,False,security,0.1
145,14,root_fallback,False,society_humanitarian,0.3
150,15,root_fallback,False,diplomacy,0.0
150,15,root_fallback,False,economy,0.0
150,15,root_fallback,False,law,0.0
150,15,root_fallback,False,politics,0.0
150,15,root_fallback,False,security,1.0
150,15,root_fallback,False,society_humanitarian,0.0
151,15,root_fallback,False,diplomacy,0.0
151,15,root_fallback,False,economy,0.0
151,15,root_fallback,False,law,0.0
151,15,root_fallback,False,politics,0.0
151,15,root_fallback,False,security,1.0
151,15,root_fallback,False,society_humanitarian,0.0
152,15,root_fallback,False,diplomacy,0.0
152,15,root_fallback,False,economy,0.0
152,15,root_fallback,False,law,0.0
152,15,root_fallback,False,politics,0.0
152,15,root_fallback,False,security,1.0
152,15,root_fallback,False,society_humanitarian,0.0
153,15,root_fallback,False,diplomacy,0.0
153,15,root_fallback,False,economy,0.0
153,15,root_fallback,False,law,0.0
153,15,root_fallback,False,politics,0.0
153,15,root_fallback,False,security,1.0
153,15,root_fallback,False,society_humanitarian,0.0
154,15,root_fallback,False,diplomacy,0.0
154,15,root_fallback,False,economy,0.0
154,15,root_fallback,False,law,0.0
154,15,root_fallback,False,politics,0.0
154,15,root_fallback,False,security,1.0
154,15,root_fallback,False,society_humanitarian,0.0
160,16,root_fallback,False,diplomacy,0.6
160,16,root_fallback,False,economy,0.25
160,16,root_fallback,False,law,0.0
160,16,root_fallback,False,politics,0.15
160,16,root_fallback,False,security,0.0
160,16,root_fallback,False,society_humanitarian,0.0
161,16,root_fallback,False,diplomacy,0.6
161,16,root_fallback,False,economy,0.25
161,16,root_fallback,False,law,0.0
161,16,root_fallback,False,politics,0.15
161,16,root_fallback,False,security,0.0
161,16,root_fallback,False,society_humanitarian,0.0
162,16,base_override,True,diplomacy,0.2
162,16,base_override,True,economy,0.6
162,16,base_override,True,law,0.0
162,16,base_override,True,politics,0.2
162,16,base_override,True,security,0.0
162,16,base_override,True,society_humanitarian,0.0
163,16,base_override,True,diplomacy,0.1
163,16,base_override,True,economy,0.75
163,16,base_override,True,law,0.0
163,16,base_override,True,politics,0.15
163,16,base_override,True,security,0.0
163,16,base_override,True,society_humanitarian,0.0
164,16,root_fallback,False,diplomacy,0.6
164,16,root_fallback,False,economy,0.25
164,16,root_fallback,False,law,0.0
164,16,root_fallback,False,politics,0.15
164,16,root_fallback,False,security,0.0
164,16,root_fallback,False,society_humanitarian,0.0
165,16,root_fallback,False,diplomacy,0.6
165,16,root_fallback,False,economy,0.25
165,16,root_fallback,False,law,0.0
165,16,root_fallback,False,politics,0.15
165,16,root_fallback,False,security,0.0
165,16,root_fallback,False,society_humanitarian,0.0
166,16,base_override,False,diplomacy,0.35
166,16,base_override,False,economy,0.0
166,16,base_override,False,law,0.15
166,16,base_override,False,politics,0.35
166,16,base_override,False,security,0.15
166,16,base_override,False,society_humanitarian,0.0
170,17,root_fallback,False,diplomacy,0.0
170,17,root_fallback,False,economy,0.2
170,17,root_fallback,False,law,0.25
170,17,root_fallback,False,politics,0.25
170,17,root_fallback,False,security,0.3
170,17,root_fallback,False,society_humanitarian,0.0
171,17,base_override,True,diplomacy,0.0
171,17,base_override,True,economy,0.3
171,17,base_override,True,law,0.25
