month,country,domain,data_status,preference_update_impact,weekly_variation,weekly_peak,weekly_recent
201803,CN,diplomacy,observed,1.756955401820837,0.9041363202472907,1.3918694779086418,0.9779066070407082
201803,CN,economy,observed,2.770585636907737,1.9006452617030227,2.272329314606184,1.4362887921286218
201803,CN,law,observed,-0.4339387235266915,0.9693934404609376,0.5825836975077697,0.03050646774361826
201803,CN,politics,observed,0.4991627930654244,1.6929497980115085,0.6768255366469635,0.15061374832485053
201803,CN,security,observed,-0.24057408641109493,2.648691168585919,0.6157780068007315,-0.26818239185209247
201803,CN,society_humanitarian,observed,1.0657198688326246,0.9936885618530766,0.6544019976371229,0.6544019976371229
201803,US,diplomacy,observed,1.9116541552808628,0.8994958368422223,1.4907610092531376,1.2811504356122188
201803,US,economy,observed,2.855543371583074,2.371809689352148,2.244430403647932,2.041249559668049
201803,US,law,observed,-0.6292796090984069,1.2053943137454477,0.6142092163526324,-0.3484265710813832
201803,US,politics,observed,0.741946702605098,0.9812717407664959,0.5269887761109395,0.4461520624258642
201803,US,security,observed,-0.8690535094088572,0.7757464839531835,0.5446398685379323,-0.42483719016115246
201803,US,society_humanitarian,observed,1.122912675370251,0.5646325035325737,0.5407858246365738,0.5055390898585612
201804,CN,diplomacy,observed,2.1383358492555686,2.069662388316618,1.881705630630656,1.0873537316785293
201804,CN,economy,observed,3.008503403895074,3.00818463084594,2.889506467435465,0.9753369248039364
201804,CN,law,observed,-1.2508658761016727,1.2911157463769984,0.937925554851361,-0.937925554851361
201804,CN,politics,observed,0.18802410440914322,1.854285960242989,0.8422818480715027,-0.6390942693168118
201804,CN,security,observed,-0.897299724534892,0.9978007717445998,0.7711726231896914,-0.7711726231896914
201804,CN,society_humanitarian,observed,1.1727869450533805,1.9117144150500829,0.733245225581351,0.733245225581351
201804,US,diplomacy,observed,2.1475705082231205,1.6568742339627465,1.6778889832016168,1.259132176785529
201804,US,economy,observed,3.105704309690424,2.608317245636689,2.625698184757552,1.616636841626285
201804,US,law,observed,-0.7266915587777777,0.8784379285967556,0.7155284671042254,-0.6104103947901055
201804,US,politics,observed,0.5928602461035688,1.8516544170173717,0.9446897268236856,-0.19540534209741175
201804,US,security,observed,-0.6082859666008269,1.4101749165129254,0.5343483788017616,-0.5279179928608739
201804,US,society_humanitarian,observed,1.3314989986855448,0.9312600343764934,0.8527630731343713,0.5783388925572925
201805,CN,diplomacy,observed,1.6562279253049423,1.3420099901421505,1.4695755196604816,1.2018986039797919
201805,CN,economy,observed,2.5791765951754373,0.7042542205895379,1.9040840947533404,1.8125945339656786
201805,CN,law,observed,-1.0154346313450564,0.43273629157662147,0.7624385329041229,-0.7505706407528261
201805,CN,politics,observed,-0.03266442049303882,0.7126082977545161,0.22548763244704262,-0.22548763244704262
201805,CN,security,observed,-1.1336491602722476,0.40515976469919,0.7617405925940366,-0.7617405925940366
201805,CN,society_humanitarian,observed,1.022252428220589,0.29630381419400625,0.5780071676129547,0.5780071676129547
201805,US,diplomacy,observed,1.66065223912142,0.39195602358250503,1.1809240123459541,1.1550673496457349
201805,US,economy,observed,2.395595643260356,0.9936512991794904,1.8780919979431334,1.5998756824784763
201805,US,law,observed,-1.1135435592890424,1.4366064908346665,0.8631812196329277,-0.5478576661907331
201805,US,politics,observed,-0.25987895969408437,2.172207167401736,0.6514154373066527,0.056952878206541366
201805,US,security,observed,-1.3236919421076776,1.3529236473538995,0.971900007751128,-0.5626349515527623
201805,US,society_humanitarian,observed,0.7585359627363665,0.7619192275690514,0.4295062640439595,0.3962912210047367
201806,CN,diplomacy,observed,1.7519640643653094,0.9751994951208757,1.5675559473013492,1.5675559473013492
201806,CN,economy,observed,2.808955163115286,1.5177179519605122,2.3438406914579435,1.9353352008936031
201806,CN,law,observed,-0.9158093260977105,1.1858321009941317,0.6796450936002764,-0.48667114422652535
201806,CN,politics,observed,0.1701003839159674,0.5784079555337822,0.3510850186870761,0.3510850186870761
201806,CN,security,observed,-1.0694045455200667,1.6850549739493172,0.7967371456561574,-0.28551580288542633
201806,CN,society_humanitarian,observed,0.9896197931515118,0.7408768965667216,0.5231375568808847,0.27240531841887267
201806,US,diplomacy,observed,1.8122933192501673,0.9730101997683331,1.480914978476529,1.480914978476529
201806,US,economy,observed,2.691600304196722,1.0029232897662372,2.0985790172430665,1.8486386522296179
201806,US,law,observed,-0.6667582737646854,1.7761920687957045,0.5819043988753005,-0.4312709717159646
201806,US,politics,observed,0.5485053934319327,0.9829680290733669,0.6087721563642652,0.37700143643380013
201806,US,security,observed,-0.7546475417802755,2.4287261145154373,0.6200570363817722,-0.2784020832960933
201806,US,society_humanitarian,observed,1.031144200490311,0.765566398711665,0.48147848712692026,0.19414955570594333
201807,CN,diplomacy,observed,1.7154952117485596,1.8312993955338501,1.5499402861750298,0.5498595972628036
201807,CN,economy,observed,3.0922795745313025,1.2741322315570356,2.41134306494236,2.1757882565874813
201807,CN,law,observed,-0.8624541429920339,1.163851987147555,0.790863864252134,-0.5755508018667238
201807,CN,politics,observed,0.17799185560571096,0.6622531378129823,0.338667477381792,-0.21816107885382463
201807,CN,security,observed,-0.295445575932712,1.8981264168376866,0.6732367503852543,0.5220152178694294
201807,CN,society_humanitarian,observed,1.549694245492305,1.3264746466800466,1.1441617011957863,1.1441617011957863
201807,US,diplomacy,observed,1.583985636181018,1.8742459048720168,1.543938558845661,0.615801913586911
201807,US,economy,observed,2.7727916291314947,2.1330401220883015,2.362283651869299,2.2910687077362266
201807,US,law,observed,-1.219062709749203,0.8228343012268852,0.823656760438063,-0.6217466655951587
201807,US,politics,observed,-0.13652935231657223,1.7413723933594187,0.41464254083480023,-0.1594108747501464
201807,US,security,observed,-0.6016372978942245,1.104573144932841,0.668745939228216,-0.668745939228216
201807,US,society_humanitarian,observed,1.3407101504202277,1.3518049208783158,0.9218308266942623,0.4918567325102089
201808,CN,diplomacy,observed,1.3536720971046974,1.276500934868206,1.188025616338427,0.9652207398290044
201808,CN,economy,observed,2.336600627026874,2.7761288489017915,2.1923598685593504,1.9207203048725001
201808,CN,law,observed,-1.1840597324831146,0.3087504941337993,0.8957094213963814,-0.5962578930203295
201808,CN,politics,observed,-0.4434471835325256,0.8712214139521142,0.47291228354733883,0.08878109835290701
201808,CN,security,observed,-0.8835152848210867,1.562645040879557,0.7614229229262078,0.265353760653931
201808,CN,society_humanitarian,observed,1.583129728277918,0.9305263396236612,1.0686781367910112,0.35515111403895566
201808,US,diplomacy,observed,1.609629814639854,0.6542927784851389,1.3349339588069353,1.3349339588069353
201808,US,economy,observed,2.5317171440696113,0.6458803070105676,1.8517102782033947,1.8134627831839871
201808,US,law,observed,-1.0433565133084342,1.5872810856753616,1.0622717895773741,-0.6070460306343465
201808,US,politics,observed,0.0054595417184465445,1.2263065593570863,0.3177166149975319,0.16278234049300577
201808,US,security,observed,-0.8901050544552542,1.7703045786168767,0.9434058736980229,0.00011335137102825064
201808,US,society_humanitarian,observed,1.0873628020351958,1.047975950014244,0.6324580769046892,0.3478026856418443
201809,CN,diplomacy,observed,1.5394391366576714,1.4553660540618178,1.3260433883730018,0.918856067969015
201809,CN,economy,observed,1.905022632740034,1.8573041800897259,1.783925960947219,1.144363218140696
201809,CN,law,observed,-1.0453908197890018,0.7303823950605008,0.7454172510249557,-0.7121094457349484
201809,CN,politics,observed,-0.39856144678303507,0.6710028219227708,0.44396262578477413,-0.44396262578477413
201809,CN,security,observed,-0.9812083403819839,1.3123928652002057,0.7761146339835872,-0.7761146339835872
201809,CN,society_humanitarian,observed,0.9792129354238539,0.7730352244060936,0.6322667102533157,0.4152057008960814
201809,US,diplomacy,observed,1.5041745608073982,2.2129719113674016,1.2855282420306602,1.0687496343143452
201809,US,economy,observed,1.9426354491123292,3.7440539919506852,1.8474588537933814,1.4507398411248629
201809,US,law,observed,-1.0544943402559994,1.4158382405750705,0.8816858112426526,-0.8816858112426526
201809,US,politics,observed,-0.18154208981787387,1.6351683798517636,0.3614027322978108,-0.34705309660930944
201809,US,security,observed,-0.984019633859927,1.9157490126405672,0.8674779670869628,-0.8674779670869628
201809,US,society_humanitarian,observed,1.0457159573140584,1.0177439324201847,0.6966639446229083,0.6966639446229083
201810,CN,diplomacy,observed,1.5463494756533627,0.9499856490254599,1.3961325971503358,1.2296795244110137
201810,CN,economy,observed,1.8296029841013781,1.3463314310359822,1.8574608190457211,1.8574608190457211
201810,CN,law,observed,-0.9061404791275557,1.478296519653195,0.765558288034647,-0.6270506488276723
201810,CN,politics,observed,-0.4416279267166646,1.7356862603786511,0.6346418211420566,-0.2020937208939294
